Stop,Count
Alumni Way E,875
Aux Services East,9161
Belk Hall S,5109
CRI Deck,8
Cato Hall N,15983
Cato Hall S,11326
Cone Deck W,14094
FM/Police Building,300
Fretwell N,25998
Fretwell S,22261
Harris Alumni Center South,4
Hickory Hall North,1758
Levine Hall E,12647
Martin Hall,56
North Deck,8731
Reese East,9295
Reese West,8083
Robinson Hall N,5571
Robinson Hall S,15469
South Village Deck,52515
Student Health (Green) W,10879
Student Health N,36201
Student Union E,35223
Wallis Hall W/Light Rail,36583
Woodward Hall East,8914
